                                                           Stdlib	                                                                                                                           Containers	                                                                                                                                              Batteries	                                                                                                        Base	                                            F#
			Base.Map.map_keys : ('k2, 'cmp2) Base__.Comparator.Module.t -> ('k1, 'v, 'cmp1) t -> f:('k1 -> 'k2) -> [ `Duplicate_key of 'k2 | `Ok of ('k2, 'v, 'cmp2) t ]	
			Base.Map.map_keys_exn : ('k2, 'cmp2) Base__.Comparator.Module.t -> ('k1, 'v, 'cmp1) t -> f:('k1 -> 'k2) -> ('k2, 'v, 'cmp2) t	
Map.mapi : (key -> 'a -> 'b) -> 'a t -> 'b t	CCMap.mapi : (key -> 'a -> 'b) -> 'a t -> 'b t	BatMap.mapi : ('a -> 'b -> 'c) -> ('a, 'b) t -> ('a, 'c) t	Base.Map.mapi : ('k, 'v1, 'cmp) t -> f:(key:'k -> data:'v1 -> 'v2) -> ('k, 'v2, 'cmp) t	
Map.max_binding : 'a t -> key * 'a	CCMap.max_binding : 'a t -> key * 'a	BatMap.max_binding : ('key, 'a) t -> 'key * 'a	Base.Map.max_elt_exn : ('k, 'v, 'a) t -> 'k * 'v	Map.maxKeyValue : ???
Map.max_binding_opt : 'a t -> (key * 'a) option	CCMap.max_binding_opt : 'a t -> (key * 'a) option	BatMap.max_binding_opt : ('key, 'a) t -> ('key * 'a) option	Base.Map.max_elt : ('k, 'v, 'a) t -> ('k * 'v) option	
Map.mem : key -> 'a t -> bool	CCMap.mem : key -> 'a t -> bool	BatMap.mem : 'a -> ('a, 'b) t -> bool	Base.Map.mem : ('k, 'a, 'cmp) t -> 'k -> bool	
Map.merge : (key -> 'a option -> 'b option -> 'c option) -> 'a t -> 'b t -> 'c t	CCMap.merge : (key -> 'a option -> 'b option -> 'c option) -> 'a t -> 'b t -> 'c t	BatMap.merge : ('key -> 'a option -> 'b option -> 'c option) -> ('key, 'a) t -> ('key, 'b) t -> ('key, 'c) t 	Base.Map.merge : ('k, 'v1, 'cmp) t -> ('k, 'v2, 'cmp) t -> f:(key:'k -> ('v1, 'v2) Merge_element.t -> 'v3 option) -> ('k, 'v3, 'cmp) t	
			Base.Map.merge_skewed : ('k, 'v, 'cmp) t -> ('k, 'v, 'cmp) t -> combine:(key:'k -> 'v -> 'v -> 'v) -> ('k, 'v, 'cmp) t	
	CCMap.merge_safe : f:(key -> [ `Both of 'a * 'b | `Left of 'a | `Right of 'b ] -> 'c option) -> 'a t -> 'b t -> 'c t			
Map.min_binding : 'a t -> key * 'a	CCMap.min_binding : 'a t -> key * 'a	BatMap.min_binding : ('key, 'a) t -> 'key * 'a	Base.Map.min_elt_exn : ('k, 'v, 'a) t -> 'k * 'v	Map.minKeyValue : ???
Map.min_binding_opt : 'a t -> (key * 'a) option	CCMap.min_binding_opt : 'a t -> (key * 'a) option	BatMap.min_binding_opt : ('key, 'a) t -> ('key * 'a) option	Base.Map.min_elt : ('k, 'v, 'a) t -> ('k * 'v) option	
		BatMap.modify : 'a -> ('b -> 'b) -> ('a, 'b) t -> ('a, 'b) t		
		BatMap.modify_def : 'b -> 'a -> ('b -> 'b) -> ('a, 'b) t -> ('a, 'b) t		
		BatMap.modify_opt : 'a -> ('b option -> 'b option) -> ('a, 'b) t -> ('a, 'b) t		
			Base.Map.nth : ('k, 'v, 'a) t -> int -> ('k * 'v) option	
			Base.Map.nth_exn : ('k, 'v, 'a) t -> int -> 'k * 'v	
			Base.Map.of_alist : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) list -> [ `Duplicate_key of 'a | `Ok of ('a, 'b, 'cmp) t ]	
			Base.Map.of_alist_exn : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) list -> ('a, 'b, 'cmp) t	
			Base.Map.of_alist_fold : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) list -> init:'c -> f:('c -> 'b -> 'c) -> ('a, 'c, 'cmp) t	
			Base.Map.of_alist_multi : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) list -> ('a, 'b list, 'cmp) t	
			Base.Map.of_alist_or_error : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) list -> ('a, 'b, 'cmp) t Base__.Or_error.t	
			Base.Map.of_alist_reduce : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) list -> f:('b -> 'b -> 'b) -> ('a, 'b, 'cmp) t	
				Map.ofArray : (('a * 'b) [] -> Map<'a,'b>) when 'a : comparison
		BatMap.of_enum : ('a * 'b) BatEnum.t -> ('a, 'b) t		
			Base.Map.of_increasing_iterator_unchecked : ('a, 'cmp) Base__.Comparator.Module.t -> len:int -> f:(int -> 'a * 'b) -> ('a, 'b, 'cmp) t	
			Base.Map.of_increasing_sequence : ('k, 'cmp) Base__.Comparator.Module.t -> ('k * 'v) Base__.Sequence.t -> ('k, 'v, 'cmp) t Base__.Or_error.t	
	CCMap.of_iter : (key * 'a) CCMap.iter -> 'a t			
	CCMap.of_iter_with : f:(key -> 'a -> 'a -> 'a) -> (key * 'a) CCMap.iter -> 'a t			
			Base.Map.of_iteri : ('a, 'cmp) Base__.Comparator.Module.t -> iteri:(f:(key:'a -> data:'b -> unit) -> unit) -> [ `Duplicate_key of 'a | `Ok of ('a, 'b, 'cmp) t ]	
			Base.Map.of_iteri_exn : ('a, 'cmp) Base__.Comparator.Module.t -> iteri:(f:(key:'a -> data:'b -> unit) -> unit) -> ('a, 'b, 'cmp) t	
	CCMap.of_list : (key * 'a) list -> 'a t			Map.ofList : (('a * 'b) list -> Map<'a,'b>) when 'a : comparison
	CCMap.of_list_with : f:(key -> 'a -> 'a -> 'a) -> (key * 'a) list -> 'a t			
			Base.Map.of_sequence : ('k, 'cmp) Base__.Comparator.Module.t -> ('k * 'v) Base__.Sequence.t -> [ `Duplicate_key of 'k | `Ok of ('k, 'v, 'cmp) t ]	
Map.of_seq : (key * 'a) Seq.t -> 'a t	CCMap.of_seq : (key * 'a) Seq.t -> 'a t	BatMap.of_seq : ('key * 'a) BatSeq.t -> ('key, 'a) t	Base.Map.of_sequence_exn : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) Base__.Sequence.t -> ('a, 'b, 'cmp) t	Map.ofSeq : (seq<'a * 'b> -> Map<'a,'b>) when 'a : comparison
			Base.Map.of_sequence_fold : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) Base__.Sequence.t -> init:'c -> f:('c -> 'b -> 'c) -> ('a, 'c, 'cmp) t	
			Base.Map.of_sequence_multi : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) Base__.Sequence.t -> ('a, 'b list, 'cmp) t	
			Base.Map.of_sequence_or_error : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) Base__.Sequence.t -> ('a, 'b, 'cmp) t Base__.Or_error.t	
			Base.Map.of_sequence_reduce : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) Base__.Sequence.t -> f:('b -> 'b -> 'b) -> ('a, 'b, 'cmp) t	
	CCMap.of_seq_with : f:(key -> 'a -> 'a -> 'a) -> (key * 'a) Seq.t -> 'a t		Base.Map.of_sorted_array : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) array -> ('a, 'b, 'cmp) t Base__.Or_error.t	
			Base.Map.of_sorted_array_unchecked : ('a, 'cmp) Base__.Comparator.Module.t -> ('a * 'b) array -> ('a, 'b, 'cmp) t	
			Base.Map.of_tree : ('k, 'cmp) Base__.Comparator.Module.t -> ('k, 'v, 'cmp) Using_comparator.Tree.t -> ('k, 'v, 'cmp) t	
Map.partition : (key -> 'a -> bool) -> 'a t -> 'a t * 'a t	CCMap.partition : (key -> 'a -> bool) -> 'a t -> 'a t * 'a t	BatMap.partition : ('a -> 'b -> bool) -> ('a, 'b) t -> ('a, 'b) t * ('a, 'b) t		Map.partition : (('a -> 'b -> bool) -> Map<'a,'b> -> Map<'a,'b> * Map<'a,'b>) when 'a : comparison
			Base.Map.partition_map : ('k, 'v1, 'cmp) t -> f:('v1 -> ('v2, 'v3) Base__.Either.t) -> ('k, 'v2, 'cmp) t * ('k, 'v3, 'cmp) t	
			Base.Map.partition_mapi : ('k, 'v1, 'cmp) t -> f:(key:'k -> data:'v1 -> ('v2, 'v3) Base__.Either.t) -> ('k, 'v2, 'cmp) t * ('k, 'v3, 'cmp) t	
			Base.Map.partition_tf : ('k, 'v, 'cmp) t -> f:('v -> bool) -> ('k, 'v, 'cmp) t * ('k, 'v, 'cmp) t	
			Base.Map.partitioni_tf : ('k, 'v, 'cmp) t -> f:(key:'k -> data:'v -> bool) -> ('k, 'v, 'cmp) t * ('k, 'v, 'cmp) t	
				Map.pick : (('a -> 'b -> 'c option) -> Map<'a,'b> -> 'c) when 'a : comparison
		BatMap.pop : ('a, 'b) t -> ('a * 'b) * ('a, 'b) t		
		BatMap.pop_max_binding : ('key, 'a) t -> ('key * 'a) * ('key, 'a) t		
		BatMap.pop_min_binding : ('key, 'a) t -> ('key * 'a) * ('key, 'a) t		
	CCMap.pp : ?pp_start:unit CCMap.printer -> ?pp_stop:unit CCMap.printer -> ?pp_arrow:unit CCMap.printer -> ?pp_sep:unit CCMap.printer -> key CCMap.printer -> 'a CCMap.printer -> 'a t CCMap.printer			
		BatMap.print : ?first:string -> ?last:string -> ?sep:string -> ?kvsep:string -> ('a BatInnerIO.output -> 'b -> unit) -> ('a BatInnerIO.output -> 'c -> unit) -> 'a BatInnerIO.output -> ('b, 'c) t -> unit		
			Base.Map.range_to_alist : ('k, 'v, 'cmp) t -> min:'k -> max:'k -> ('k * 'v) list	
			Base.Map.rank : ('k, 'v, 'cmp) t -> 'k -> int option	
Map.remove : key -> 'a t -> 'a t	CCMap.remove : key -> 'a t -> 'a t	BatMap.remove : 'a -> ('a, 'b) t -> ('a, 'b) t	Base.Map.remove : ('k, 'v, 'cmp) t -> 'k -> ('k, 'v, 'cmp) t	Map.remove : ('a -> Map<'a,'b> -> Map<'a,'b>) when 'a : comparison
		BatMap.remove_exn : 'a -> ('a, 'b) t -> ('a, 'b) t		
			Base.Map.remove_multi : ('k, 'v list, 'cmp) t -> 'k -> ('k, 'v list, 'cmp) t	
			Base.Map.set : ('k, 'v, 'cmp) t -> key:'k -> data:'v -> ('k, 'v, 'cmp) t	
			Base.Map.sexp_of_m__t : (module Sexp_of_m with type t = 'k) -> ('v -> Base__.Sexp.t) -> ('k, 'v, 'cmp) t -> Base__.Sexp.t	
Map.singleton : key -> 'a -> 'a t	CCMap.singleton : key -> 'a -> 'a t	BatMap.singleton : 'a -> 'b -> ('a, 'b) t	Base.Map.singleton : ('a, 'cmp) Base__.Comparator.Module.t -> 'a -> 'b -> ('a, 'b, 'cmp) t	
Map.split : key -> 'a t -> 'a t * 'a option * 'a t	CCMap.split : key -> 'a t -> 'a t * 'a option * 'a t	BatMap.split : 'key -> ('key, 'a) t -> ('key, 'a) t * 'a option * ('key, 'a) t	Base.Map.split : ('k, 'v, 'cmp) t -> 'k -> ('k, 'v, 'cmp) t * ('k * 'v) option * ('k, 'v, 'cmp) t	
			Base.Map.subrange : ('k, 'v, 'cmp) t -> lower_bound:'k Base__.Maybe_bound.t -> upper_bound:'k Base__.Maybe_bound.t -> ('k, 'v, 'cmp) t	
			Base.Map.symmetric_diff : ('k, 'v, 'cmp) t -> ('k, 'v, 'cmp) t -> data_equal:('v -> 'v -> bool) -> ('k, 'v) Symmetric_diff_element.t Base__.Sequence.t	
			Base.Map.to_alist : ?key_order:[ `Decreasing | `Increasing ] -> ('k, 'v, 'a) t -> ('k * 'v) list	
				Map.toArray : (Map<'a,'b> -> ('a * 'b) []) when 'a : comparison
	CCMap.to_iter : 'a t -> (key * 'a) CCMap.iter			
	CCMap.to_list : 'a t -> (key * 'a) list			Map.toList : (Map<'a,'b> -> ('a * 'b) list) when 'a : comparison
Map.to_rev_seq : 'a t -> (key * 'a) Seq.t	CCMap.to_rev_seq : 'a t -> (key * 'a) Seq.t	BatMap.to_rev_seq : ('key, 'a) t -> ('key * 'a) BatSeq.t		
Map.to_seq : 'a t -> (key * 'a) Seq.t	CCMap.to_seq : 'a t -> (key * 'a) Seq.t	BatMap.to_seq : ('key, 'a) t -> ('key * 'a) BatSeq.t	Base.Map.to_sequence : ?order:[ `Decreasing_key | `Increasing_key ] -> ?keys_greater_or_equal_to:'k -> ?keys_less_or_equal_to:'k -> ('k, 'v, 'cmp) t -> ('k * 'v) Base__.Sequence.t	Map.toSeq : (Map<'a,'b> -> seq<'a * 'b>) when 'a : comparison
Map.to_seq_from : key -> 'a t -> (key * 'a) Seq.t	CCMap.to_seq_from : key -> 'a t -> (key * 'a) Seq.t	BatMap.to_seq_from : 'key -> ('key, 'a) t -> ('key * 'a) BatSeq.t		
			Base.Map.to_tree : ('k, 'v, 'cmp) t -> ('k, 'v, 'cmp) Using_comparator.Tree.t	
				Map.tryFind : ('a -> Map<'a,'b> -> 'b option) when 'a : comparison
				Map.tryFindKey : (('a -> 'b -> bool) -> Map<'a,'b> -> 'a option) when 'a : comparison
				Map.tryPick : (('a -> 'b -> 'c option) -> Map<'a,'b> -> 'c option) when 'a : comparison
Map.union : (key -> 'a -> 'a -> 'a option) -> 'a t -> 'a t -> 'a t	CCMap.union : (key -> 'a -> 'a -> 'a option) -> 'a t -> 'a t -> 'a t	BatMap.union : ('a, 'b) t -> ('a, 'b) t -> ('a, 'b) t		
		BatMap.union_stdlib : ('key -> 'a -> 'a -> 'a option) -> ('key, 'a) t -> ('key, 'a) t -> ('key, 'a) t 		
Map.update : key -> ('a option -> 'a option) -> 'a t -> 'a t	CCMap.update : key -> ('a option -> 'a option) -> 'a t -> 'a t	BatMap.update : 'a -> 'a -> 'b -> ('a, 'b) t -> ('a, 'b) t	Base.Map.update : ('k, 'v, 'cmp) t -> 'k -> f:('v option -> 'v) -> ('k, 'v, 'cmp) t	
		BatMap.update_stdlib : 'a -> ('b option -> 'b option) -> ('a, 'b) t -> ('a, 'b) t		
	CCMap.values : 'a t -> 'a CCMap.iter	BatMap.values : ('a, 'b) t -> 'b BatEnum.t		Map.values : ???
		BatMap.( --> ) : ('a, 'b) t -> 'a -> 'b		
		BatMap.( <-- ) : ('a, 'b) t -> 'a * 'b -> ('a, 'b) t		
		BatMap.Exceptionless.any : ('a, 'b) t -> ('a * 'b) option		
		BatMap.Exceptionless.choose : ('a, 'b) t -> ('a * 'b) option		
		BatMap.Exceptionless.find : 'a -> ('a, 'b) t -> 'b option		
				
			Base.Option.all : 'a t list -> 'a list t	
			Base.Option.all_unit : unit t list -> unit t	
		BatOption.apply : ('a -> 'a) option -> 'a -> 'a	Base.Option.apply : ('a -> 'b) t -> 'a t -> 'b t	
Option.bind : 'a option -> ('a -> 'b option) -> 'b option	CCOption.bind : 'a t -> ('a -> 'b t) -> 'b t	BatOption.bind : 'a option -> ('a -> 'b option) -> 'b option	Base.Option.bind : 'a t -> f:('a -> 'b t) -> 'b t	Option.bind : (('a -> 'b option) -> 'a option -> 'b option)
			Base.Option.both : 'a t -> 'b t -> ('a * 'b) t	
			Base.Option.call : 'a -> f:('a -> unit) t -> unit	
	CCOption.choice : 'a t list -> 'a t			
	CCOption.choice_iter : 'a t iter -> 'a t			
	CCOption.choice_seq : 'a t Seq.t -> 'a t			
Option.compare : ('a -> 'a -> int) -> 'a option -> 'a option -> int	CCOption.compare : ('a -> 'a -> int) -> 'a t -> 'a t -> int	BatOption.compare : ?cmp:('a -> 'a -> int) -> 'a option -> 'a option -> int	Base.Option.compare : 'a Base__Ppx_compare_lib.compare -> 'a t Base__Ppx_compare_lib.compare	
				Option.contains : ('a -> 'a option -> bool) when 'a : equality
			Base.Option.count : 'a t -> f:('a -> bool) -> int	Option.count : ('a option -> int)
		BatOption.default : 'a -> 'a option -> 'a		Option.defaultValue : ('a -> 'a option -> 'a)
				Option.defaultWith : ((unit -> 'a) -> 'a option -> 'a)
		BatOption.default_delayed : (unit -> 'a) -> 'a option -> 'a		
		BatOption.enum : 'a option -> 'a BatEnum.t		
		BatOption.eq : ?eq:('a -> 'a -> bool) -> 'a option -> 'a option -> bool		
Option.equal : ('a -> 'a -> bool) -> 'a option -> 'a option -> bool	CCOption.equal : ('a -> 'a -> bool) -> 'a t -> 'a t -> bool		Base.Option.equal : 'a Base__Equal.equal -> 'a t Base__Equal.equal	
	CCOption.exists : ('a -> bool) -> 'a t -> bool		Base.Option.exists : 'a t -> f:('a -> bool) -> bool	Option.exists : (('a -> bool) -> 'a option -> bool)
	CCOption.filter : ('a -> bool) -> 'a t -> 'a t	BatOption.filter : ('a -> bool) -> 'a option -> 'a option	Base.Option.filter : 'a t -> f:('a -> bool) -> 'a t	Option.filter : (('a -> bool) -> 'a option -> 'a option)
			Base.Option.find : 'a t -> f:('a -> bool) -> 'a option	
			Base.Option.find_map : 'a t -> f:('a -> 'b option) -> 'b option	
			Base.Option.first_some : 'a t -> 'a t -> 'a t	
	CCOption.flat_map : ('a -> 'b t) -> 'a t -> 'b t			
	CCOption.flatten : 'a t t -> 'a t			
				Option.flatten : ('a option option -> 'a option)
Option.fold : none:'a -> some:('b -> 'a) -> 'b option -> 'a	CCOption.fold : ('a -> 'b -> 'a) -> 'a -> 'b t -> 'a		Base.Option.fold : 'a t -> init:'accum -> f:('accum -> 'a -> 'accum) -> 'accum	Option.fold : (('a -> 'b -> 'a) -> 'a -> 'b option -> 'a)
			Base.Option.fold_result : 'a t -> init:'accum -> f:('accum -> 'a -> ('accum, 'e) Base__.Result.t) -> ('accum, 'e) Base__.Result.t	
			Base.Option.fold_until : 'a t -> init:'accum -> f:('accum -> 'a -> ('accum, 'final) Base__.Container.Continue_or_stop.t) -> finish:('accum -> 'final) -> 'final	
				Option.foldBack : (('a -> 'b -> 'b) -> 'a option -> 'b -> 'b)
	CCOption.for_all : ('a -> bool) -> 'a t -> bool		Base.Option.for_all : 'a t -> f:('a -> bool) -> bool	Option.forall : (('a -> bool) -> 'a option -> bool)
Option.get : 'a option -> 'a		BatOption.get : 'a option -> 'a		Option.get : ('a option -> 'a)
	CCOption.get_exn : 'a t -> 'a	BatOption.get_exn : 'a option -> exn -> 'a		
	CCOption.get_exn_or : string -> 'a t -> 'a			
	CCOption.get_lazy : (unit -> 'a) -> 'a t -> 'a			
	CCOption.get_or : default:'a -> 'a t -> 'a			
			Base.Option.hash_fold_t : 'a Base__Ppx_hash_lib.hash_fold -> 'a t Base__Ppx_hash_lib.hash_fold	
	CCOption.if_ : ('a -> bool) -> 'a -> 'a option			
			Base.Option.ignore_m : 'a t -> unit t	
			Base.Option.invariant : 'a Base__Invariant_intf.inv -> 'a t Base__Invariant_intf.inv	
			Base.Option.is_empty : 'a t -> bool	
Option.is_none : 'a option -> bool	CCOption.is_none : 'a t -> bool	BatOption.is_none : 'a option -> bool	Base.Option.is_none : 'a t -> bool	Option.isNone : ('a option -> bool)
Option.is_some : 'a option -> bool	CCOption.is_some : 'a t -> bool	BatOption.is_some : 'a option -> bool	Base.Option.is_some : 'a t -> bool	Option.isSome : ('a option -> bool)
Option.iter : ('a -> unit) -> 'a option -> unit	CCOption.iter : ('a -> unit) -> 'a t -> unit		Base.Option.iter : 'a t -> f:('a -> unit) -> unit	Option.iter : (('a -> unit) -> 'a option -> unit)
Option.join : 'a option option -> 'a option			Base.Option.join : 'a t t -> 'a t	
			Base.Option.length : 'a t -> int	
Option.map : ('a -> 'b) -> 'a option -> 'b option	CCOption.map : ('a -> 'b) -> 'a t -> 'b t	BatOption.map : ('a -> 'b) -> 'a option -> 'b option	Base.Option.map : 'a t -> f:('a -> 'b) -> 'b t	Option.map : (('a -> 'b) -> 'a option -> 'b option)
	CCOption.map2 : ('a -> 'b -> 'c) -> 'a t -> 'b t -> 'c t		Base.Option.map2 : 'a t -> 'b t -> f:('a -> 'b -> 'c) -> 'c t	Option.map2 : (('a -> 'b -> 'c) -> 'a option -> 'b option -> 'c option)
			Base.Option.map3 : 'a t -> 'b t -> 'c t -> f:('a -> 'b -> 'c -> 'd) -> 'd t	Option.map3 : (('a -> 'b -> 'c -> 'd) -> 'a option -> 'b option -> 'c option -> 'd option)
		BatOption.map_default : ('a -> 'b) -> 'b -> 'a option -> 'b		
		BatOption.map_default_delayed : ('a -> 'b) -> (unit -> 'b) -> 'a option -> 'b		
	CCOption.map_lazy : (unit -> 'b) -> ('a -> 'b) -> 'a t -> 'b			
	CCOption.map_or : default:'b -> ('a -> 'b) -> 'a t -> 'b			
			Base.Option.max_elt : 'a t -> compare:('a -> 'a -> int) -> 'a option	
		BatOption.may : ('a -> unit) -> 'a option -> unit		
			Base.Option.mem : 'a t -> 'a -> equal:('a -> 'a -> bool) -> bool	
			Base.Option.merge : 'a t -> 'a t -> f:('a -> 'a -> 'a) -> 'a t	
			Base.Option.min_elt : 'a t -> compare:('a -> 'a -> int) -> 'a option	
Option.none : 'a option	CCOption.none : 'a t			
		BatOption.of_enum : 'a BatEnum.t -> 'a option		
	CCOption.of_list : 'a list -> 'a t			
				Option.ofNullable : (System.Nullable<'a> -> 'a option) when 'a : (new : unit -> 'a) and 'a : struct and 'a :> System.ValueType
				Option.ofObj : ('a -> 'a option) when 'a : null
	CCOption.of_result : ('a, 'b) result -> 'a t			
		BatOption.ord : 'a BatOrd.ord -> 'a option BatOrd.ord		
	CCOption.or_ : else_:'a t -> 'a t -> 'a t			Option.orElse : ('a option -> 'a option -> 'a option)
				Option.orElseWith : ((unit -> 'a option) -> 'a option -> 'a option)
	CCOption.or_lazy : else_:(unit -> 'a t) -> 'a t -> 'a t			
	CCOption.pp : 'a printer -> 'a t printer			
		BatOption.print : ('a BatInnerIO.output -> 'b -> unit) -> 'a BatInnerIO.output -> 'b t -> unit		
	CCOption.pure : 'a -> 'a t			
	CCOption.random : 'a random_gen -> 'a t random_gen			
	CCOption.return : 'a -> 'a t		Base.Option.return : 'a -> 'a t	
	CCOption.return_if : bool -> 'a -> 'a t			
	CCOption.sequence_l : 'a t list -> 'a list t			
			Base.Option.sexp_of_t : ('a -> Sexplib0__.Sexp.t) -> 'a t -> Sexplib0__.Sexp.t	
Option.some : 'a -> 'a option	CCOption.some : 'a -> 'a t	BatOption.some : 'a -> 'a option	Base.Option.some : 'a -> 'a t	
			Base.Option.some_if : bool -> 'a -> 'a t	
			Base.Option.sum : (module Base__.Container.Summable with type t = 'sum) -> 'a t -> f:('a -> 'sum) -> 'sum	
			Base.Option.t_of_sexp : (Sexplib0__.Sexp.t -> 'a) -> Sexplib0__.Sexp.t -> 'a t	
			Base.Option.t_sexp_grammar : 'a Sexplib0.Sexp_grammar.t -> 'a t Sexplib0.Sexp_grammar.t	
			Base.Option.to_array : 'a t -> 'a array	Option.toArray : ('a option -> 'a [])
	CCOption.to_gen : 'a t -> 'a gen			
	CCOption.to_iter : 'a t -> 'a iter			
Option.to_list : 'a option -> 'a list	CCOption.to_list : 'a t -> 'a list		Base.Option.to_list : 'a t -> 'a list	Option.toList : ('a option -> 'a list)
				Option.toNullable : ('a option -> System.Nullable<'a>) when 'a : (new : unit -> 'a) and 'a : struct and 'a :> System.ValueType
				Option.toObj : ('a option -> 'a) when 'a : null
Option.to_result : none:'e -> 'a option -> ('a, 'e) result	CCOption.to_result : 'e -> 'a t -> ('a, 'e) result			
	CCOption.to_result_lazy : (unit -> 'e) -> 'a t -> ('a, 'e) result			
				
Option.to_seq : 'a option -> 'a Seq.t	CCOption.to_seq : 'a t -> 'a Seq.t			
				
			Base.Option.try_with : (unit -> 'a) -> 'a t	
			Base.Option.try_with_join : (unit -> 'a t) -> 'a t	
				
				
Option.value : 'a option -> default:'a -> 'a	CCOption.value : 'a t -> default:'a -> 'a		Base.Option.value : 'a t -> default:'a -> 'a	
			Base.Option.value_exn : ?here:Base__.Source_code_position0.t -> ?error:Base__.Error.t -> ?message:string -> 'a t -> 'a	
			Base.Option.value_map : 'a t -> default:'b -> f:('a -> 'b) -> 'b	
			Base.Option.value_or_thunk : 'a t -> default:(unit -> 'a) -> 'a	
	CCOption.wrap : ?handler:(exn -> bool) -> ('a -> 'b) -> 'a -> 'b option			
	CCOption.wrap2 : ?handler:(exn -> bool) -> ('a -> 'b -> 'c) -> 'a -> 'b -> 'c option			
			Base.Option.( *> ) : unit t -> 'a t -> 'a t	
			Base.Option.( <* ) : 'a t -> unit t -> 'a t	
	CCOption.( <$> ) : ('a -> 'b) -> 'a t -> 'b t			
	CCOption.( <*> ) : ('a -> 'b) t -> 'a t -> 'b t		Base.Option.( <*> ) : ('a -> 'b) t -> 'a t -> 'b t	
	CCOption.( <+> ) : 'a t -> 'a t -> 'a t			
	CCOption.( >>= ) : 'a t -> ('a -> 'b t) -> 'b t		Base.Option.( >>= ) : 'a t -> ('a -> 'b t) -> 'b t	
	CCOption.( >|= ) : 'a t -> ('a -> 'b) -> 'b t		Base.Option.( >>| ) : 'a t -> ('a -> 'b) -> 'b t	
	CCOption.( and* ) : 'a t -> 'b t -> ('a * 'b) t			
	CCOption.( and+ ) : 'a t -> 'b t -> ('a * 'b) t			
	CCOption.( let* ) : 'a t -> ('a -> 'b t) -> 'b t			
	CCOption.( let+ ) : 'a t -> ('a -> 'b) -> 'b t			
		BatOption.( |? ) : 'a option -> 'a -> 'a		
		BatOption.Infix.( >>= ) : 'a option -> ('a -> 'b option) -> 'b option		
		BatOption.Labels.map : f:('a -> 'b) -> 'a option -> 'b option		
		BatOption.Labels.map_default : f:('a -> 'b) -> 'b -> 'a option -> 'b		
		BatOption.Labels.may : f:('a -> unit) -> 'a option -> unit		
		BatOption.Monad.bind : 'a m -> ('a -> 'b m) -> 'b m		
		BatOption.Monad.return : 'a -> 'a m		
				
Printf.bprintf : Buffer.t -> ('a, Buffer.t, unit) format -> 'a		BatPrintf.bprintf : Buffer.t -> ('a, Buffer.t, unit) t -> 'a	Base.Printf.bprintf : Buffer.t -> ('r, Buffer.t, unit) format -> 'r	Printf.bprintf : (System.Text.StringBuilder -> Printf.BuilderFormat<'a> -> 'a)
		BatPrintf.bprintf2 : Buffer.t -> ('b, 'a BatInnerIO.output, unit) t -> 'b		
Printf.eprintf : ('a, out_channel, unit) format -> 'a		BatPrintf.eprintf : ('b, 'a BatInnerIO.output, unit) t -> 'b		Printf.eprintf : (Printf.TextWriterFormat<'a> -> 'a)
				Printf.eprintfn : (Printf.TextWriterFormat<'a> -> 'a)
				Printf.failwithf : (Printf.StringFormat<'a,'b> -> 'a)
Printf.fprintf : out_channel -> ('a, out_channel, unit) format -> 'a		BatPrintf.fprintf : 'a BatInnerIO.output -> ('b, 'a BatInnerIO.output, unit) t -> 'b		Printf.fprintf : (System.IO.TextWriter -> Printf.TextWriterFormat<'a> -> 'a)
				Printf.fprintfn : (System.IO.TextWriter -> Printf.TextWriterFormat<'a> -> 'a)
Printf.ibprintf : Buffer.t -> ('a, Buffer.t, unit) format -> 'a				
Printf.ifprintf : 'b -> ('a, 'b, 'c, unit) format4 -> 'a		BatPrintf.ifprintf : 'c -> ('b, 'a BatInnerIO.output, unit) t -> 'b	Base.Printf.ifprintf : 'a -> ('r, 'a, 'c, unit) format4 -> 'r	
Printf.ikbprintf : (Buffer.t -> 'd) -> Buffer.t -> ('a, Buffer.t, unit, 'd) format4 -> 'a				
Printf.ikfprintf : ('b -> 'd) -> 'b -> ('a, 'b, 'c, 'd) format4 -> 'a				
Printf.kbprintf : (Buffer.t -> 'd) -> Buffer.t -> ('a, Buffer.t, unit, 'd) format4 -> 'a		BatPrintf.kbprintf : (Buffer.t -> 'a) -> Buffer.t -> ('b, Buffer.t, unit, 'a) format4 -> 'b	Base.Printf.kbprintf : (Buffer.t -> 'a) -> Buffer.t -> ('r, Buffer.t, unit, 'a) format4 -> 'r	Printf.kbprintf : ((unit -> 'a) -> System.Text.StringBuilder -> Printf.BuilderFormat<'b,'a> -> 'b)
